"Click Id","Subs Date","Unsubs Date"
36970415,"2024-03-15 10:48:21","2024-03-15 10:49:25"
9470515,"2024-03-15 11:11:06","2024-03-15 11:37:20"
29940915,"2024-03-15 15:40:52","2024-03-15 15:49:47"
1670116,"2024-03-16 07:07:54","2024-03-16 07:12:53"
14491115,"2024-03-15 17:28:23","2024-03-15 21:29:09"
23191115,"2024-03-15 17:44:38","2024-03-15 17:45:54"
2811215,"2024-03-15 18:07:20","2024-03-15 19:09:44"
9161215,"2024-03-15 18:30:07","2024-03-15 18:32:04"
12601315,"2024-03-15 19:18:41","2024-03-15 19:19:35"
18731315,"2024-03-15 19:27:30","2024-03-15 19:28:47"
22011315,"2024-03-22 23:36:22","2024-03-22 23:37:25"
1951515,"2024-03-15 21:04:19","2024-03-15 21:33:25"
1921615,"2024-03-15 22:02:22","2024-03-15 22:03:16"
28691615,"2024-03-15 22:26:20","2024-03-15 22:27:27"
57431615,"2024-03-15 22:45:34","2024-03-15 22:46:43"
79741615,"2024-03-15 22:59:50","2024-03-15 23:03:22"
55611715,"2024-03-15 23:37:26","2024-03-15 23:38:52"
61081715,"2024-03-15 23:41:19","2024-03-15 23:45:15"
67451715,"2024-03-16 05:18:41","2024-03-16 14:45:51"
28091815,"2024-03-16 00:21:57","2024-03-16 00:24:01"
42071915,"2024-03-16 01:59:58","2024-03-16 02:00:53"
42371915,"2024-03-16 02:00:30","2024-03-16 02:03:39"
462015,"2024-03-16 02:02:12","2024-03-16 02:04:58"
14452115,"2024-03-16 03:32:57","2024-03-16 03:47:26"
25282215,"2024-03-16 04:37:31","2024-03-16 04:44:15"
29632215,"2024-03-16 04:42:19","2024-03-16 07:09:49"
5842315,"2024-03-16 05:15:36","2024-03-16 05:16:53"
14402315,"2024-03-16 05:30:19","2024-03-16 05:38:55"
19292315,"2024-03-16 05:40:27","2024-03-16 05:41:26"
10660016,"2024-03-16 06:37:24","2024-03-16 06:38:50"
22470216,"2024-03-16 08:50:14","2024-03-16 08:52:51"
23080216,"2024-03-16 08:51:33","2024-03-16 09:22:06"
24800216,"2024-03-16 08:55:29","2024-03-16 09:28:34"
3180316,"2024-03-16 09:06:18","2024-03-16 09:07:23"
23030316,"2024-03-16 09:47:02","2024-03-16 09:58:26"
24930316,"2024-03-16 09:50:54","2024-03-16 09:53:32"
27970316,"2024-03-16 09:56:11","2024-03-16 22:39:00"
39410416,"2024-03-16 10:57:11","2024-03-16 11:32:33"
7030516,"2024-03-16 11:09:24","2024-03-16 11:10:44"
10440516,"2024-03-16 11:14:12","2024-03-16 11:30:53"
3920716,"2024-03-16 13:08:25","2024-03-16 13:19:49"
3640816,"2024-03-16 14:06:44","2024-03-16 14:08:39"
8220816,"2024-03-16 14:17:08","2024-03-16 14:28:44"
21310916,"2024-03-16 15:36:52","2024-03-16 15:38:47"
11961216,"2024-03-16 18:45:08","2024-03-16 18:47:41"
36211316,"2024-03-16 19:59:03","2024-03-16 20:00:35"
9721416,"2024-03-16 20:18:01","2024-03-16 20:22:07"
11971416,"2024-03-16 20:22:08","2024-03-16 20:27:54"
13291416,"2024-03-16 20:23:18","2024-03-16 20:28:18"
17301416,"2024-03-16 20:29:49","2024-03-16 20:32:33"
23031416,"2024-03-16 20:39:16","2024-03-16 20:48:43"
531516,"2024-03-16 21:01:35","2024-03-16 21:05:07"
14231516,"2024-03-16 21:21:08","2024-03-16 21:25:46"
27471616,"2024-03-16 22:29:30","2024-03-16 22:30:08"
29431616,"2024-03-16 22:31:25","2024-03-16 22:34:32"
46381616,"2024-03-16 22:44:54","2024-03-16 22:45:36"
6941716,"2024-03-16 23:06:40","2024-03-16 23:37:13"
7551716,"2024-03-16 23:07:14","2024-03-16 23:09:11"
10901716,"2024-03-16 23:09:39","2024-03-16 23:12:15"
12541716,"2024-03-16 23:11:09","2024-03-16 23:12:17"
62161716,"2024-03-16 23:52:21","2024-03-16 23:53:18"
6891816,"2024-03-17 00:07:33","2024-03-17 00:48:15"
9451916,"2024-03-17 01:12:20","2024-03-17 01:21:30"
